year,gauge,p_mm,q_mm,bc_q,q_na_count
2016,304040,1816.957967,926.804271,173.9161583092452,0
2017,304040,1404.291957,661.056266,136.7922988361438,0
2018,304040,1515.919706,738.678864,148.02826572012106,0
2019,304040,1496.03821,801.646499,156.8887085403132,0
2020,304040,1367.416676,660.538536,136.71609278754815,0
2021,304040,1425.684091,704.977624,143.1949456890904,0
2022,304040,1121.655892,NA,NA,31
1950,304497,1375.010865,NA,NA,365
1951,304497,1794.147827,NA,NA,365
1952,304497,2253.53858,NA,NA,366
1953,304497,1953.93494,NA,NA,365
1954,304497,1626.17005,NA,NA,365
1955,304497,1893.402031,NA,NA,365
1956,304497,2243.195419,NA,NA,366
1957,304497,1499.295556,NA,NA,365
1958,304497,2078.069689,NA,NA,365
1959,304497,1413.145111,NA,NA,365
1960,304497,1857.789971,NA,NA,366
1961,304497,1376.837308,NA,NA,365
1962,304497,2010.174411,NA,NA,365
1963,304497,1387.82909,NA,NA,365
1964,304497,2368.4637,NA,NA,127
1965,304497,1627.921367,967.282041,31.551627017732656,0
1966,304497,1601.467097,791.230854,29.106291758752047,0
1967,304497,1333.403971,728.984426,28.159953053571,0
1968,304497,2362.181645,1859.5474,40.88842458751358,0
1969,304497,1894.142395,1059.150645,32.716964272709106,0
1970,304497,2224.208056,1463.230211,37.200134738759914,0
1971,304497,2192.761641,1289.936432,35.38756487539209,0
1972,304497,1491.037762,902.619733,30.688887974559265,0
1973,304497,2252.888395,1237.592433,34.81009315965227,0
1974,304497,2005.354964,1046.799243,32.564097568028885,0
1975,304497,2423.358775,1563.328707,38.18595776494351,0
1976,304497,1603.880477,842.155291,29.846159350809963,0
1977,304497,1714.47527,974.834751,31.649998690694115,0
1978,304497,1688.536198,1082.343899,33.00100597719897,0
1979,304497,1843.90882,1051.324543,32.62023610894,0
1980,304497,2023.00005,1263.760539,35.100671286228874,0
1981,304497,1906.298967,1141.135287,33.70422626324221,0
1982,304497,1510.836701,850.293252,29.96175735579863,0
1983,304497,1523.217637,791.178806,29.105520433424267,0
1984,304497,2097.489732,1174.930544,34.09816361182822,0
1985,304497,1751.146645,902.232972,30.683612344309914,0
1986,304497,2004.651455,1213.571677,34.53992991999367,0
1987,304497,1658.861273,1038.490059,32.460618422585824,0
1988,304497,1986.256497,1181.168754,34.17009588103798,0
1989,304497,1634.849953,591.672167,25.875236162595343,0
1990,304497,1791.650583,881.308216,30.396035594446673,0
1991,304497,1757.046696,1057.640117,32.698329797242344,0
1992,304497,1868.5838449999999,998.434217,31.9543131437678,0
1993,304497,1867.678094,972.378477,31.618059375011676,0
1994,304497,1989.162136,1498.865842,37.55583249363251,0
1995,304497,1782.986833,909.867411,30.787487834490435,0
1996,304497,2312.570598,1521.356118,37.77758212499766,0
1997,304497,1647.884736,901.541186,30.674172451121738,0
1998,304497,1734.364873,939.78973800000006,31.189402657172398,0
1999,304497,1470.033477,841.527235,29.83720873767767,0
2000,304497,1794.72082,1085.884049,33.044022659531876,0
2001,304497,1754.96532,986.725947,31.80390882746042,0
2002,304497,1866.564521,1325.517082,35.771710540308526,0
2003,304497,1923.115215,1240.315299,34.840508135172975,0
2004,304497,1957.75207,1246.212975,34.90624235125883,0
2005,304497,2046.098776,1094.828107,33.15231033077007,0
2006,304497,1402.208307,825.684321,29.61001988391511,0
2007,304497,1742.843865,1002.078975,32.00090658675483,0
2008,304497,1551.883496,875.573516,30.316471503721417,0
2009,304497,2007.251854,1339.7545929999999,35.92360351440704,0
